No.,Planet Name,Planet Host,Num Stars,Num Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period Days,Orbit Semi-Major Axis,Mass,Eccentricity,Insolation Flux,Equilibrium Temperature,Spectral Type,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Metallicity,Stellar Metallicity Ratio,Stellar Surface Gravity,Distance,Gaia Magnitude
855,HD 3167 c,HD 3167,1,3,Transit,2016,K2,29.83832,0.1841,,,,531,,5528,0.87,0.94,-0.02,[Fe/H],4.53,47.2899,8.76221
856,HD 3167 d,HD 3167,1,3,Transit,2017,W. M. Keck Observatory,8.509,0.07757,6.9,0.36,88.9,,K0 V,5261,0.86,0.86,0.04,[Fe/H],4.47,47.2899,8.76221
857,HD 32518 b,HD 32518,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,157.54,0.59,966.16,0.01,,,K1 III,4580,10.22,1.13,-0.15,[Fe/H],2.1,122.115,6.11933
858,HD 32963 b,HD 32963,1,1,Radial Velocity,2015,W. M. Keck Observatory,2372,3.41,222.481,0.07,,,,5727,,0.94,0.11,[Fe/H],4.41,38.0786,7.42756
859,HD 330075 b,HD 330075,1,1,Radial Velocity,2004,La Silla Observatory,3.38773,0.04,152.5584,0,,,,5000,0.84,0.47,0.05,[Fe/H],4.26,45.2989,9.09159
860,HD 331093 b,HD 331093,1,1,Radial Velocity,2021,Haute-Provence Observatory,621.62,1.44,476.74261,0.59,,,K0,5544,,1.03,0.17,[Fe/H],4.2,50.1928,8.19105
861,HD 33142 b,HD 33142,1,2,Radial Velocity,2011,W. M. Keck Observatory,326,1.07,440.19455,0.066,,,,4978,4.45,1.41,,,3.4,121.375,7.71274
862,HD 33142 c,HD 33142,1,2,Radial Velocity,2018,W. M. Keck Observatory,834,,1897.4451,0.05,,,,,,1.62,,,,121.375,7.71274
863,HD 332231 b,HD 332231,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),18.71204,0.1436,77.55052,0.032,98.09,876,F8,6089,1.28,1.13,0.036,[Fe/H],4.28,80.6665,8.41839
864,HD 33283 b,HD 33283,2,1,Radial Velocity,2006,W. M. Keck Observatory,18.1991,0.1508,104.56607,0.399,,,G3/G5 V,5935,1.97,1.38,0.35,[Fe/H],,89.8623,7.89933
865,HD 33564 b,HD 33564,1,1,Radial Velocity,2005,Haute-Provence Observatory,388,1.1,2892.1,0.34,,,F6 V,6250,,1.25,-0.12,[Fe/H],4,20.9531,4.97155
866,HD 33844 b,HD 33844,1,2,Radial Velocity,2015,Anglo-Australian Telescope,551.40002,1.6,638.8383,0.15,,,,4861,5.39,1.84,0.27,[Fe/H],3.24,105.779,7.01153
867,HD 33844 c,HD 33844,1,2,Radial Velocity,2015,Anglo-Australian Telescope,916,2.24,556.2025,0.13,,,K0 III,4861,5.29,1.78,0.27,[Fe/H],3.24,105.779,7.01153
868,HD 34445 b,HD 34445,1,6,Radial Velocity,2009,W. M. Keck Observatory,1049,2.07,260.6206,0.27,,,,5879,1.38,1.14,0.18,[Fe/H],4.21,46.0907,7.14947
869,HD 34445 c,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,214.67,0.7181,53.5,0.036,,,G0 V,5836,1.38,1.07,0.14,[Fe/H],4.21,46.0907,7.14947
870,HD 34445 d,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,117.87,0.4817,30.7,0.027,,,G0 V,5836,1.38,1.07,0.14,[Fe/H],4.21,46.0907,7.14947
871,HD 34445 e,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,49.175,0.2687,16.8,0.09,,,G0 V,5836,1.38,1.07,0.14,[Fe/H],4.21,46.0907,7.14947
872,HD 34445 f,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,676.8,1.543,37.9,0.031,,,G0 V,5836,1.38,1.07,0.14,[Fe/H],4.21,46.0907,7.14947
873,HD 34445 g,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,5700,6.36,120.6,0.032,,,G0 V,5836,1.38,1.07,0.14,[Fe/H],4.21,46.0907,7.14947
874,HD 35759 b,HD 35759,1,1,Radial Velocity,2016,Haute-Provence Observatory,82.467,0.389,1195.0408,0.389,,,G0,6060,,1.15,0.04,[Fe/H],4.24,71.2423,7.59606
875,HD 3651 b,HD 3651,1,1,Radial Velocity,2003,Multiple Observatories,62.25,0.295,72.46524,0.645,,,,5221,,0.8,,,4.45,11.1336,5.65255
876,HD 37124 b,HD 37124,1,3,Radial Velocity,2002,W. M. Keck Observatory,154.378,0.53364,214.53525,0.054,,,G4 V,,,0.85,-0.44,[Fe/H],,31.6634,7.47238
877,HD 37124 c,HD 37124,1,3,Radial Velocity,2002,W. M. Keck Observatory,885.5,1.71,207.22516,0.125,,,G4 V,,,0.85,-0.44,[Fe/H],,31.6634,7.47238
878,HD 37124 d,HD 37124,1,3,Radial Velocity,2005,W. M. Keck Observatory,1862,2.807,221.20968,0.16,,,G4 V,,,0.85,-0.44,[Fe/H],,31.6634,7.47238
879,HD 37605 b,HD 37605,1,2,Radial Velocity,2004,McDonald Observatory,55.01292,0.277,854.9627,0.6745,,,K0,5329,0.91,0.94,0.27,[Fe/H],,46.7864,8.46192
880,HD 37605 c,HD 37605,1,2,Radial Velocity,2012,Multiple Observatories,2720,3.74,1013.8777,0.03,,,K0,5329,0.91,0.94,0.27,[Fe/H],,46.7864,8.46192
881,HD 3765 b,HD 3765,1,1,Radial Velocity,2021,Multiple Observatories,1211,2.108,54.98431,0.298,,,,5049.8,0.83,0.85,0.172,[Fe/H],4.53,17.926,7.07827
882,HD 38283 b,HD 38283,1,1,Radial Velocity,2010,Anglo-Australian Telescope,363.20001,1.02,127.132,0.41,,,,5981,1.49,1.37,-0.18,[Fe/H],4.23,38.0615,6.54392
883,HD 38529 b,HD 38529,2,2,Radial Velocity,2000,Multiple Observatories,14.30944,0.1294,253.31051,0.28,,,,5541,2.56,1.41,,,3.77,42.3538,5.74796
884,HD 38529 c,HD 38529,2,2,Radial Velocity,2000,Multiple Observatories,2136.1,3.64,4128.6117,0.3407,,,,5541,2.56,1.41,,,3.77,42.3538,5.74796
885,HD 38801 b,HD 38801,1,1,Radial Velocity,2009,Subaru Telescope,685.25,1.623,3082.31534,0.017,,,,5338,2.03,1.21,0.25,[Fe/H],3.88,91.4349,8.03397
886,HD 39091 b,HD 39091,1,2,Radial Velocity,2001,Anglo-Australian Telescope,2093.07,3.1,3184.6566,0.637,,,G0 V,6037,1.1,1.09,0.08,[Fe/H],4.42,18.2702,5.5128
887,HD 39194 b,HD 39194,1,3,Radial Velocity,2021,La Silla Observatory,5.6368,0.056,4,0.207,,,K0 V,5205,,0.67,-0.61,[Fe/H],4.53,26.4131,7.85201
888,HD 39194 c,HD 39194,1,3,Radial Velocity,2021,La Silla Observatory,14.03,0.103,6.3,0.154,,,K0 V,5205,,0.67,-0.61,[Fe/H],4.53,26.4131,7.85201
889,HD 39194 d,HD 39194,1,3,Radial Velocity,2021,La Silla Observatory,33.91,0.185,4,0.333,,,K0 V,5205,,0.67,-0.61,[Fe/H],4.53,26.4131,7.85201
890,HD 39855 b,HD 39855,1,1,Radial Velocity,2019,Las Campanas Observatory,3.2498,0.041,8.5,0.14,,,G8 V,5576,,0.87,,,,23.2599,7.32113
891,HD 40307 b,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,4.3123,0.0468,4,0.2,,,K2.5 V,4956,,0.77,-0.31,[Fe/H],4.47,12.9363,6.84367
892,HD 40307 c,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,9.6184,0.0799,6.6,0.06,,,K2.5 V,4956,,0.77,-0.31,[Fe/H],4.47,12.9363,6.84367
893,HD 40307 d,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,20.432,0.1321,9.5,0.07,,,K2.5 V,4956,,0.77,-0.31,[Fe/H],4.47,12.9363,6.84367
894,HD 40307 f,HD 40307,1,5,Radial Velocity,2013,La Silla Observatory,51.76,0.247,5.2,0.02,,,K2.5 V,4956,,0.77,-0.31,[Fe/H],4.47,12.9363,6.84367
895,HD 40307 g,HD 40307,1,5,Radial Velocity,2013,La Silla Observatory,197.8,0.6,7.1,0.29,,,K2.5 V,4956,,0.77,-0.31,[Fe/H],4.47,12.9363,6.84367
896,HD 40956 b,HD 40956,1,1,Radial Velocity,2017,Multiple Observatories,578.6,1.4,858.141,0.24,,,,4869,8.56,2,0.14,[Fe/H],3.02,116.593,6.14049
897,HD 40979 b,HD 40979,3,1,Radial Velocity,2002,Multiple Observatories,264.14999,0.85,1484.2661,0.25,,,,6165,1.21,1.45,0.2,[Fe/H],4.43,34.0883,6.59963
898,HD 41004 A b,HD 41004 A,2,2,Radial Velocity,2004,La Silla Observatory,963,,807.25,0.74,,,,,,,,,,36.69117,
899,HD 41004 B b,HD 41004 B,2,2,Radial Velocity,2003,La Silla Observatory,1.3283,,5838.29,0.081,,,M2 V,,,0.4,,,,41.5504,8.37625
900,HD 4113 b,HD 4113,3,1,Radial Velocity,2007,La Silla Observatory,526.62,1.28,495.79,0.903,,,G5,5688,,0.99,0.2,[Fe/H],4.4,41.8727,7.71051
901,HD 42012 b,HD 42012,1,1,Radial Velocity,2017,Haute-Provence Observatory,857.5,1.67,508.528,0.2,,,K0,5405,0.82,0.83,-0.09,[Fe/H],4.45,36.7984,8.22949
902,HD 4203 b,HD 4203,1,2,Radial Velocity,2001,W. M. Keck Observatory,431.88,1.17,708.7609,0.52,,,,5596,1.42,1.25,0.4,[Fe/H],4.23,81.3795,8.51545
903,HD 4203 c,HD 4203,1,2,Radial Velocity,2014,W. M. Keck Observatory,6700,6.95,689.66,0.24,,,,5582,1.5,0.99,0.34,[M/H],4.08,81.3795,8.51545
904,HD 4208 b,HD 4208,1,1,Radial Velocity,2001,W. M. Keck Observatory,832.97,1.662,257.4423,0.042,,,,5717,0.85,0.88,-0.28,[Fe/H],4.5,34.1937,7.61066
905,HD 42618 b,HD 42618,1,1,Radial Velocity,2016,Multiple Observatories,149.61,0.554,14.4,0.19,3.16,337,G4 V,5727,1,1.01,-0.09,[Fe/H],4.44,24.3358,6.68303
906,HD 4308 b,HD 4308,1,1,Radial Velocity,2005,La Silla Observatory,15.56,0.12,15.8915,0,,,,5686,1.02,0.93,-0.35,[Fe/H],4.39,22.0158,6.37578
907,HD 4313 b,HD 4313,1,1,Radial Velocity,2009,W. M. Keck Observatory,356.21,1.157,612.45841,0.147,,,,4943,5.14,1.63,,,3.24,136.308,7.57399
908,HD 43197 b,HD 43197,1,1,Radial Velocity,2010,La Silla Observatory,327.8,0.92,190.69,0.83,,,G8 V,5508,1,0.96,0.4,[Fe/H],4.31,62.4112,8.77158
909,HD 43691 b,HD 43691,3,1,Radial Velocity,2007,Haute-Provence Observatory,36.9987,0.238,810.4665,0.0796,,,G0,6093,1.6,1.32,0.33,[Fe/H],,85.6009,7.8972
910,HD 44219 b,HD 44219,1,1,Radial Velocity,2010,La Silla Observatory,472.3,1.19,184.33,0.61,,,G2 V,5752,1.32,1,0.03,[Fe/H],4.21,52.9051,7.52973
911,HD 45184 b,HD 45184,1,2,Radial Velocity,2019,La Silla Observatory,5.8854,0.0644,12.19,0.07,,,G1.5 V,5869,,1.03,0.04,[Fe/H],4.47,21.9532,6.21037
912,HD 45184 c,HD 45184,1,2,Radial Velocity,2019,La Silla Observatory,13.1354,0.11,8.81,0.07,,,G1.5 V,5869,,1.03,0.04,[Fe/H],4.47,21.9532,6.21037
913,HD 45350 b,HD 45350,1,1,Radial Velocity,2004,W. M. Keck Observatory,963.6,1.92,568.89,0.778,,,,5566,1.26,0.98,0.23,[M/H],4.23,46.8733,7.7
914,HD 45364 b,HD 45364,1,2,Radial Velocity,2008,La Silla Observatory,226.93,0.6813,59.4953,0.1684,,,K0 V,5434,,0.82,-0.17,[Fe/H],4.38,34.354,7.88016
915,HD 45364 c,HD 45364,1,2,Radial Velocity,2008,La Silla Observatory,342.85,0.8972,209.0915,0.0974,,,K0 V,5434,,0.82,-0.17,[Fe/H],4.38,34.354,7.88016
916,HD 45652 b,HD 45652,1,1,Radial Velocity,2008,Haute-Provence Observatory,44.073,0.237,137.62039,0.607,,,G8/K0,5294,0.94,0.92,0.26,[Fe/H],,34.8541,7.9118
917,HD 46375 b,HD 46375,2,1,Radial Velocity,2000,W. M. Keck Observatory,3.023573,0.0398,71.8,0.063,,,,5285,,0.92,0.24,[Fe/H],4.53,29.5529,7.69533
918,HD 47186 b,HD 47186,1,2,Radial Velocity,2008,La Silla Observatory,4.0845,0.05,22.2481,0.04,,,,5657,1.08,0.96,0.24,[Fe/H],4.36,37.4574,7.44897
919,HD 47186 c,HD 47186,1,2,Radial Velocity,2008,La Silla Observatory,1353.6,2.395,111.42,0.249,,,,,,,,,,37.4574,7.44897
920,HD 4732 b,HD 4732,2,2,Radial Velocity,2012,Multiple Observatories,360.2,1.19,753.23,0.13,,,K0 IV,4959,5.4,1.74,0.01,[Fe/H],3.16,54.7841,5.6509
921,HD 4732 c,HD 4732,2,2,Radial Velocity,2012,Multiple Observatories,2732,4.6,753.23,0.23,,,K0 IV,4959,5.4,1.74,0.01,[Fe/H],3.16,54.7841,5.6509
922,HD 47366 b,HD 47366,1,2,Radial Velocity,2016,Okayama Astrophysical Observatory,359.15,1.28,731.009,0.06,,,,4914,6.2,2.19,-0.07,[Fe/H],3.1,84.3552,5.83869
923,HD 47366 c,HD 47366,1,2,Radial Velocity,2016,Okayama Astrophysical Observatory,682.85,1.97,597.5204,0.1,,,,4914,6.2,2.19,-0.07,[Fe/H],3.1,84.3552,5.83869
924,HD 47536 b,HD 47536,1,1,Radial Velocity,2002,La Silla Observatory,712.13,1.93,2330,0.2,,,K1 III,4380,23.47,2.1,,,,122.536,4.88004
925,HD 4760 b,HD 4760,1,1,Radial Velocity,2021,Multiple Observatories,434,1.14,4417.837,0.23,,,,4076,42.4,1.05,-0.91,[Fe/H],1.62,537.873,6.98504
926,HD 48265 b,HD 48265,1,1,Radial Velocity,2008,Las Campanas Observatory,778.51,1.814,484.69075,0.211,,,,5733,1.9,1.31,0.3,[Fe/H],3.97,90.5446,7.87925
927,HD 4917 b,HD 4917,1,1,Radial Velocity,2018,W. M. Keck Observatory,400.5,1.167,513.29545,0.066,,,,4802,5.01,1.32,,,2.97,204.277,7.74877
928,HD 49674 b,HD 49674,1,1,Radial Velocity,2002,W. M. Keck Observatory,4.94737,0.06,31.783,0.09,,,,5602,1.02,1.03,0.32,[Fe/H],4.44,43.0399,7.91841
929,HD 50499 b,HD 50499,1,2,Radial Velocity,2005,W. M. Keck Observatory,2447.1,3.833,519.96988,0.266,,,,6102,1.35,1.25,0.26,[Fe/H],4.25,46.2845,7.0564
930,HD 50499 c,HD 50499,1,2,Radial Velocity,2019,La Silla Observatory,8619.9,9.02,931.2419,0,,,G1 V,6099,1.42,1.31,0.38,[Fe/H],4.42,46.2845,7.0564
931,HD 50554 b,HD 50554,1,1,Radial Velocity,2002,Lick Observatory,1293,2.353,1574.464,0.501,,,,5987,1.02,1.04,-0.04,[Fe/H],,31.1664,6.69786
932,HD 51608 b,HD 51608,1,2,Radial Velocity,2019,La Silla Observatory,14.0726,0.1059,12.77,0.09,,,G7 V,5358,,0.8,-0.07,[Fe/H],4.36,35.0553,7.96058
933,HD 51608 c,HD 51608,1,2,Radial Velocity,2019,La Silla Observatory,95.9446,0.3809,14.31,0.14,,,G7 V,5358,,0.8,-0.07,[Fe/H],4.36,35.0553,7.96058
934,HD 52265 b,HD 52265,1,1,Radial Velocity,2000,W. M. Keck Observatory,119.27,0.52,384.5743,0.27,,,,6136,,1.2,,,4.36,29.9803,6.15257
935,HD 5278 b,HD 5278,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),14.339156,0.1202,7.8,0.08,132,943,F V,6203,1.19,1.13,-0.12,[Fe/H],4.5,57.5846,7.80375
936,HD 5278 c,HD 5278,1,2,Radial Velocity,2021,Paranal Observatory,40.87,0.2416,18.4,0.07,,,F V,6203,1.19,1.13,-0.12,[Fe/H],4.5,57.5846,7.80375
937,HD 5319 b,HD 5319,1,2,Radial Velocity,2007,W. M. Keck Observatory,637.1,1.57,494.54348,0.092,,,,4871,4.06,1.27,,,3.26,121.405,7.77238
938,HD 5319 c,HD 5319,1,2,Radial Velocity,2014,W. M. Keck Observatory,872.2,1.93,334.67499,0.183,,,,4871,4.06,1.27,,,3.26,121.405,7.77238
939,HD 55696 b,HD 55696,1,1,Radial Velocity,2018,W. M. Keck Observatory,1827,3.18,1230.0021,0.705,,,G0 V,6012,1.52,1.29,0.37,[Fe/H],,77.9693,7.81135
940,HD 5583 b,HD 5583,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,139.35,0.53,1837.0574,0.076,,,,4830,9.09,1.01,-0.5,[Fe/H],2.53,219.216,7.30769
941,HD 5608 b,HD 5608,1,1,Radial Velocity,2012,Okayama Astrophysical Observatory,779.9,1.911,534.27223,0.056,,,,4877,5.14,1.53,,,3.19,58.1105,5.72695
942,HD 564 b,HD 564,1,1,Radial Velocity,2014,La Silla Observatory,492.3,1.2,104.88,0.096,,,G2/G3 V,5902,1.01,0.96,-0.2,[Fe/H],4.53,51.1659,8.17077
943,HD 5891 b,HD 5891,1,1,Radial Velocity,2011,W. M. Keck Observatory,177.11,0.64,2425.0429,0.07,,,,4673,10.64,1.93,-0.37,[Fe/H],2.67,283.502,7.79825
944,HD 59686 A b,HD 59686 A,2,1,Radial Velocity,2016,Lick Observatory,299.36,1.086,2199.3836,0.05,,,K2 III,4658,13.2,1.9,0.15,[Fe/H],2.49,89.2721,5.13228
945,HD 60292 b,HD 60292,1,1,Radial Velocity,2020,Bohyunsan Optical Astronomical Observatory,495.4,1.5,2065.895,0.27,,,K0 III,4348,27,1.7,-0.17,[Fe/H],1.9,315.211,6.53238
946,HD 60532 b,HD 60532,1,2,Radial Velocity,2008,La Silla Observatory,201.9,0.77,336.8998,0.26,,,,6245,2.57,1.5,-0.26,[Fe/H],3.8,25.9716,4.30793
947,HD 60532 c,HD 60532,1,2,Radial Velocity,2008,La Silla Observatory,600.1,1.6,797.7533,0.03,,,,6245,2.57,1.5,-0.26,[Fe/H],3.8,25.9716,4.30793
948,HD 62509 b,HD 62509,1,1,Radial Velocity,2006,Multiple Observatories,589.64,1.64,731,0.02,,,,4892.63,,,0.103,[M/H],,,
949,HD 63433 b,HD 63433,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),7.10793,0.0719,,0,,,,5640,0.91,0.99,,,,22.4035,6.71831
950,HD 63433 c,HD 63433,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),20.5453,0.1458,,0,,,,5640,0.91,0.99,,,,22.4035,6.71831
951,HD 63454 b,HD 63454,1,1,Radial Velocity,2005,La Silla Observatory,2.81805,0.04,79.4575,0,,,,4812,0.77,0.42,0.1,[Fe/H],4.28,37.6894,9.05402
952,HD 63765 b,HD 63765,1,1,Radial Velocity,2009,La Silla Observatory,358,0.94,168.4499,0.24,,,,5449,0.83,0.65,-0.16,[Fe/H],4.41,32.5376,7.90983
953,HD 63935 b,HD 63935,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),9.058811,,10.8,0,115.6,911,,5534,0.96,0.93,0.07,[Fe/H],4.38,48.9739,8.39353
954,HD 63935 c,HD 63935,1,2,Radial Velocity,2021,Multiple Observatories,21.4023,,11.1,0,36.7,684,,5534,0.96,0.93,0.07,[Fe/H],4.38,48.9739,8.39353
955,HD 64114 b,HD 64114,1,1,Radial Velocity,2019,Las Campanas Observatory,45.791,0.246,17.8,0.12,,,G7 V,5676,,0.95,,,,31.5262,7.52581
956,HD 6434 b,HD 6434,1,1,Radial Velocity,2003,La Silla Observatory,21.998,0.14,155.7367,0.17,,,,5769,1.12,1.1,-0.55,[Fe/H],4.38,42.358,7.5609
957,HD 65216 b,HD 65216,3,2,Radial Velocity,2003,La Silla Observatory,577.6,1.301,411.58985,0.27,,,,5612,,0.87,,,4.44,35.1205,7.7943
958,HD 65216 c,HD 65216,3,2,Radial Velocity,2013,La Silla Observatory,5370,5.75,645.1949,0.17,,,,5612,,0.87,,,4.44,35.1205,7.7943
959,HD 66141 b,HD 66141,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,480.5,1.2,1906.9,0.07,,,K2 III,4323,21.4,1.1,-0.323,[Fe/H],1.78,68.1509,3.97926
960,HD 66428 b,HD 66428,1,2,Radial Velocity,2005,W. M. Keck Observatory,2263.12,3.467,1018.32732,0.493,,,,5773,1.1,1.08,0.23,[Fe/H],4.36,53.2817,8.08142
961,HD 66428 c,HD 66428,1,2,Radial Velocity,2021,Multiple Observatories,39000,23,8581.36699,0.32,,,,5647.6,1.17,1.05,0.271,[Fe/H],4.32,53.2817,8.08142
962,HD 67087 b,HD 67087,1,2,Radial Velocity,2015,Multiple Observatories,352.2,1.08,973,0.17,,,F8 V,6330,1.55,1.36,0.25,[Fe/H],4.19,76.5217,7.92235
963,HD 67087 c,HD 67087,1,2,Radial Velocity,2015,Multiple Observatories,2374,3.86,1540,0.76,,,F8 V,6330,1.55,1.36,0.25,[Fe/H],4.19,76.5217,7.92235
964,HD 6718 b,HD 6718,1,1,Radial Velocity,2009,La Silla Observatory,2496,3.55,533.9544,0.1,,,,5801,0.95,1.08,-0.03,[Fe/H],4.51,51.3444,8.28147
965,HD 68402 b,HD 68402,1,1,Radial Velocity,2016,Multiple Observatories,1103,2.18,975.7381,0.03,,,G5 IV/V,5950,1.02,1.12,0.29,[Fe/H],4.47,78.4293,8.95443
966,HD 68988 b,HD 68988,1,2,Radial Velocity,2001,Multiple Observatories,6.27711,0.07,626.1251,0.12,,,,5932,1.19,1.28,0.35,[Fe/H],4.4,60.8447,8.04611
967,HD 68988 c,HD 68988,1,2,Radial Velocity,2021,Multiple Observatories,16000,13.2,4767.4261,0.45,,,,5883.41,1.26,1.17,0.305,[Fe/H],4.31,60.8447,8.04611
968,HD 69830 b,HD 69830,1,3,Radial Velocity,2006,La Silla Observatory,8.667,0.0785,10.2,0.1,,,,5385,,0.86,-0.05,[Fe/H],,12.5591,5.75392
969,HD 69830 c,HD 69830,1,3,Radial Velocity,2006,La Silla Observatory,31.56,0.186,11.8,0.13,,,,5385,,0.86,-0.05,[Fe/H],,12.5591,5.75392
970,HD 69830 d,HD 69830,1,3,Radial Velocity,2006,La Silla Observatory,197,0.63,18.1,0.07,,,,5385,,0.86,-0.05,[Fe/H],,12.5591,5.75392
971,HD 70573 b,HD 70573,1,1,Radial Velocity,2007,La Silla Observatory,851.8,1.76,1900,0.4,,,G1-1.5 V,5737,,1,-0.18,[Fe/H],4.59,59.182,8.54261
972,HD 70642 b,HD 70642,1,1,Radial Velocity,2003,Anglo-Australian Telescope,2124.54,3.318,633.43519,0.175,,,,5732,0.98,1.08,0.22,[Fe/H],4.46,29.276,6.99211
973,HD 7199 b,HD 7199,1,1,Radial Velocity,2011,La Silla Observatory,615,1.36,85.8141,0.19,,,,5371,0.97,0.77,0.32,[Fe/H],4.35,36.1531,7.83743
974,HD 72490 b,HD 72490,1,1,Transit,2018,W. M. Keck Observatory,858,1.88,561.92344,0.124,,,,4934,4.96,1.21,,,3.21,126.339,7.57415
975,HD 72659 b,HD 72659,1,1,Radial Velocity,2002,W. M. Keck Observatory,3658,4.75,1223.6455,0.22,,,,5932,1.46,1.43,-0.02,[Fe/H],4.27,51.8949,7.3107
976,HD 72892 b,HD 72892,1,1,Radial Velocity,2016,Multiple Observatories,39.475,0.228,1732.1735,0.423,,,G5 V,5688,1.22,1.02,0.25,[Fe/H],4.27,69.7311,8.6469
977,HD 73267 b,HD 73267,1,1,Radial Velocity,2008,La Silla Observatory,1245.36,2.187,984.31951,0.23,,,,5387,0.91,0.9,0.07,[Fe/H],4.45,50.4093,8.67835
978,HD 73526 b,HD 73526,1,2,Radial Velocity,2002,Anglo-Australian Telescope,188.3,0.65,978.9164,0.19,,,,5601,1.53,1.14,0.22,[Fe/H],4.12,97.2396,8.79682
979,HD 73526 c,HD 73526,1,2,Radial Velocity,2005,Anglo-Australian Telescope,379.1,1.03,715.09,0.28,,,,,,1.01,,,,97.2396,8.79682
980,HD 73534 b,HD 73534,1,1,Radial Velocity,2008,W. M. Keck Observatory,1750,2.99,353.42696,0.126,,,,4917,2.58,1.16,,,3.6,83.3321,7.95707
981,HD 74156 b,HD 74156,1,2,Radial Velocity,2003,Haute-Provence Observatory,51.645,0.292,572.07,0.627,,,G0,6068,,1.24,0.11,[Fe/H],,57.603,7.46934
982,HD 74156 c,HD 74156,1,2,Radial Velocity,2003,Haute-Provence Observatory,2473,3.85,2561.6,0.432,,,G0,6068,,1.24,0.11,[Fe/H],,57.603,7.46934
983,HD 7449 b,HD 7449,2,1,Radial Velocity,2011,La Silla Observatory,1255.5,2.38,161.45764,0.92,,,,6024,,1.05,,,4.51,38.662,7.34996
984,HD 75289 b,HD 75289,2,1,Radial Velocity,1999,La Silla Observatory,3.50927,0.05,155.7367,0.03,,,,6117,1.23,1.29,0.26,[Fe/H],4.37,29.1158,6.21047
985,HD 75784 b,HD 75784,1,2,Radial Velocity,2014,W. M. Keck Observatory,341.2,1.032,317.83,0.097,,,,4867,3.4,1.26,,,3.46,85.4321,7.5599
986,HD 75784 c,HD 75784,1,2,Radial Velocity,2018,W. M. Keck Observatory,7900,8.4,1792.5612,0.489,,,,4867,3.4,1.26,,,3.46,85.4321,7.5599
987,HD 75898 b,HD 75898,1,1,Radial Velocity,2007,W. M. Keck Observatory,422.9,1.191,861.3193,0.11,,,G0,5963,1.58,1.26,0.28,[Fe/H],,78.0505,7.89597
988,HD 76700 b,HD 76700,1,1,Radial Velocity,2002,Anglo-Australian Telescope,3.97097,0.05,66.7443,0.09,,,,5644,1.37,0.99,0.31,[Fe/H],4.16,60.8831,7.97348
989,HD 76920 b,HD 76920,1,1,Radial Velocity,2017,Multiple Observatories,415.4,1.149,1249.0719,0.856,,,K1 III,4698,7.47,1.17,-0.11,[Fe/H],2.94,184.031,7.5144
990,HD 77338 b,HD 77338,1,1,Radial Velocity,2012,La Silla Observatory,5.7361,0.06,19.0698,0.09,,,,5341,0.97,1.37,0.32,[Fe/H],4.6,45.935,8.40992
991,HD 7924 b,HD 7924,1,3,Radial Velocity,2008,W. M. Keck Observatory,5.39792,0.06,6.3566,0.06,,,,5131,0.78,0.65,-0.21,[Fe/H],4.46,16.9922,6.92516
992,HD 7924 c,HD 7924,1,3,Radial Velocity,2015,W. M. Keck Observatory,15.299,0.1134,7.86,0.098,28.35,584,K0.5 V,5075,0.78,0.83,-0.15,[Fe/H],4.59,16.9922,6.92516
993,HD 7924 d,HD 7924,1,3,Radial Velocity,2015,W. M. Keck Observatory,24.451,0.1551,6.44,0.21,15.17,499,K0.5 V,5075,0.78,0.83,-0.15,[Fe/H],4.59,16.9922,6.92516
994,HD 79498 b,HD 79498,2,1,Radial Velocity,2011,McDonald Observatory,1807,2.98,425.8922,0.575,,,G5,5748,1.05,1.08,0.18,[Fe/H],,48.9489,7.8859
995,HD 80606 b,HD 80606,2,1,Radial Velocity,2001,Multiple Observatories,111.4367,,1392.0954,0.93,,,,5561,1.04,1.15,0.35,[Fe/H],4.42,66.4711,8.82008
996,HD 80653 b,HD 80653,1,1,Transit,2020,K2,0.719573,0.0166,5.6,,,,G2,,1.22,1.18,,,4.34,109.86,9.30733
997,HD 80869 b,HD 80869,1,1,Radial Velocity,2021,Haute-Provence Observatory,1711.7,2.878,1544.64606,0.862,0.14,203,G1 V,5837,1.06,1.08,0.17,[Fe/H],4.18,85.3951,8.33173
